"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"23","Pre-stressor sAA","LAZ Year 2","747","3.47","4.63","-1.38","-1.36","0.02 (-0.08, 0.12)","0.7","1","-1.56","-1.53","0.03 (-0.11, 0.17)","0.7","0.97"
"24","","WAZ Year 2","748","3.48","4.63","-1.46","-1.43","0.03 (-0.07, 0.12)","0.6","1","-1.79","-1.8","-0.01 (-0.07, 0.05)","0.74","0.97"
"25","","WLZ Year 2","747","3.47","4.63","-0.97","-0.95","0.02 (-0.07, 0.1)","0.73","1","-1.21","-1.21","0 (-0.13, 0.13)","0.98","0.98"
"26","","HCZ Year 2","746","3.48","4.63","-1.8","-1.74","0.06 (-0.03, 0.15)","0.16","0.49","-1.68","-1.69","-0.01 (-0.07, 0.05)","0.84","0.97"
"27","","","","","","","","","","","","","","",""
"28","Post-stressor sAA","LAZ Year 2","714","3.88","5.13","-1.4","-1.31","0.08 (-0.01, 0.18)","0.08","0.49","-1.55","-1.53","0.02 (-0.04, 0.08)","0.6","0.97"
"29","","WAZ Year 2","714","3.88","5.13","-1.47","-1.38","0.09 (0, 0.18)","0.05","0.49","-1.75","-1.74","0.02 (-0.04, 0.08)","0.55","0.97"
"30","","WLZ Year 2","714","3.88","5.13","-1.06","-0.95","0.1 (-0.08, 0.28)","0.27","0.58","-1.28","-1.19","0.09 (-0.07, 0.25)","0.29","0.97"
"31","","HCZ Year 2","713","3.88","5.13","-1.81","-1.77","0.04 (-0.05, 0.13)","0.38","0.77","-1.69","-1.68","0.01 (-0.05, 0.07)","0.73","0.97"
"32","","","","","","","","","","","","","","",""
"33","Pre to post-stress change in sAA","LAZ Year 2","702","-4.37","0.06","-1.45","-1.5","-0.05 (-0.28, 0.19)","0.71","1","-1.63","-1.53","0.1 (-0.04, 0.23)","0.16","0.97"
"34","","WAZ Year 2","702","-4.37","0.06","-1.41","-1.45","-0.04 (-0.1, 0.01)","0.13","0.49","-1.77","-1.77","0 (-0.03, 0.04)","0.87","0.97"
"35","","WLZ Year 2","702","-4.37","0.06","-0.96","-0.96","0 (0, 0)","1","1","-1.19","-1.2","-0.01 (-0.05, 0.03)","0.75","0.97"
"36","","HCZ Year 2","701","-4.38","0.07","-1.79","-1.8","-0.01 (-0.1, 0.08)","0.83","1","-1.67","-1.68","-0.01 (-0.04, 0.03)","0.72","0.97"
"37","","","","","","","","","","","","","","",""
"38","sAA residualized gain score","LAZ Year 2","703","-51.35","27.2","-1.48","-1.48","0 (-0.24, 0.24)","0.99","1","-1.6","-1.53","0.08 (-0.05, 0.2)","0.23","0.97"
"39","","WAZ Year 2","703","-51.35","27.2","-1.46","-1.41","0.05 (-0.01, 0.11)","0.12","0.49","-1.78","-1.78","0 (-0.04, 0.04)","0.97","0.98"
"40","","WLZ Year 2","703","-51.35","27.2","-0.96","-0.96","0 (0, 0)","1","1","-1.2","-1.21","-0.01 (-0.06, 0.03)","0.6","0.97"
"41","","HCZ Year 2","702","-51.38","27.52","-1.79","-1.78","0 (-0.06, 0.07)","0.92","1","-1.67","-1.68","-0.02 (-0.05, 0.02)","0.42","0.97"
